title,authors,gutenberg_id,sitelinks,missing_language,language_marc,speakers_millions,opportunity_score
The Merchant of Venice,William Shakespeare,2243,68,Indonesian,ind,199.0,107.397
David Copperfield,Charles Dickens,766,68,Indonesian,ind,199.0,107.397
A Journey to the Centre of the Earth,Jules Verne,18857,64,French,fre,208.2,105.752
United States Bill of Rights,,2,63,French,fre,208.2,104.1
The Great Gatsby,F. Scott Fitzgerald,64317,84,Russian,rus,154.0,102.667
A Tale of Two Cities,Charles Dickens,98,65,Indonesian,ind,199.0,102.659
A Journey to the Centre of the Earth,Jules Verne,18857,64,Indonesian,ind,199.0,101.079
Robinson Crusoe,Daniel Defoe,12623,98,Japanese,jpn,128.0,99.556
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Indonesian,ind,199.0,99.5
United States Bill of Rights,,2,63,Indonesian,ind,199.0,99.5
Critique of Pure Reason,Immanuel Kant,4280,59,French,fre,208.2,97.49
A Study in Scarlet,Arthur Conan Doyle,244,61,Indonesian,ind,199.0,96.341
Through the Looking-Glass,Lewis Carroll,12,61,Indonesian,ind,199.0,96.341
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Indonesian,ind,199.0,94.762
Critique of Pure Reason,Immanuel Kant,4280,59,Indonesian,ind,199.0,93.183
Leviathan,Thomas Hobbes,3207,59,Indonesian,ind,199.0,93.183
Sense and Sensibility,Jane Austen,161,56,Indonesian,ind,199.0,88.444
Treasure Island,Robert Louis Stevenson,120,85,Punjabi,pan,125.0,84.325
The Call of the Wild,Jack London,215,53,Indonesian,ind,199.0,83.706
The Great Gatsby,F. Scott Fitzgerald,64317,84,Punjabi,pan,125.0,83.333
Book of Mormon,Joseph Smith; Mormon,17,126,Marathi,mar,83.1,83.1
Oliver Twist,Charles Dickens,56586,83,Punjabi,pan,125.0,82.341
Ulysses,James Joyce,4300,83,Punjabi,pan,125.0,82.341
Book of Mormon,Joseph Smith; Mormon,17,126,Turkish,tur,82.2,82.2
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Indonesian,ind,199.0,82.127
The Last of the Mohicans,James Fenimore Cooper,940,52,Indonesian,ind,199.0,82.127
Little Women,Louisa May Alcott,514,52,Indonesian,ind,199.0,82.127
Book of Mormon,Joseph Smith; Mormon,17,126,Telugu,tel,82.0,82.0
The Picture of Dorian Gray,Oscar Wilde,4078,82,Punjabi,pan,125.0,81.349
A Journey to the Centre of the Earth,Jules Verne,18857,64,Russian,rus,154.0,78.222
Book of Mormon,Joseph Smith; Mormon,17,126,Korean,kor,77.3,77.3
Book of Mormon,Joseph Smith; Mormon,17,126,Malay,may,77.0,77.0
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Russian,rus,154.0,77.0
United States Bill of Rights,,2,63,Russian,rus,154.0,77.0
Book of Mormon,Joseph Smith; Mormon,17,126,German,ger,76.5,76.5
Dracula,Bram Stoker,345,75,Japanese,jpn,128.0,76.19
Book of Mormon,Joseph Smith; Mormon,17,126,Vietnamese,vie,76.0,76.0
The Adventures of Tom Sawyer,Mark Twain,74,76,Punjabi,pan,125.0,75.397
Book of Mormon,Joseph Smith; Mormon,17,126,Tamil,tam,75.0,75.0
A Study in Scarlet,Arthur Conan Doyle,244,61,Russian,rus,154.0,74.556
A Christmas Carol,Charles Dickens,46,75,Punjabi,pan,125.0,74.405
Dracula,Bram Stoker,345,75,Punjabi,pan,125.0,74.405
Critique of Pure Reason,Immanuel Kant,4280,59,Russian,rus,154.0,72.111
Leviathan,Thomas Hobbes,3207,59,Russian,rus,154.0,72.111
The Jungle Book,,236,69,Japanese,jpn,128.0,70.095
Book of Mormon,Joseph Smith; Mormon,17,126,Urdu,urd,68.6,68.6
Great Expectations,Charles Dickens,1400,69,Punjabi,pan,125.0,68.452
The Jungle Book,,236,69,Punjabi,pan,125.0,68.452
Book of Mormon,Joseph Smith; Mormon,17,126,Javanese,jav,68.3,68.3
The Merchant of Venice,William Shakespeare,2243,68,Punjabi,pan,125.0,67.46
David Copperfield,Charles Dickens,766,68,Punjabi,pan,125.0,67.46
Pride and Prejudice,Jane Austen,1342,99,Marathi,mar,83.1,65.293
A Journey to the Centre of the Earth,Jules Verne,18857,64,Japanese,jpn,128.0,65.016
