title,authors,gutenberg_id,sitelinks,missing_language,language_marc,speakers_millions,opportunity_score
David Copperfield,Charles Dickens,766,68,Sundanese,sun,32.4,17.486
Critique of Pure Reason,Immanuel Kant,4280,59,Malayalam,mal,37.1,17.372
Leviathan,Thomas Hobbes,3207,59,Malayalam,mal,37.1,17.372
Sense and Sensibility,Jane Austen,161,56,Pashto,pus,39.0,17.333
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Odia,ori,34.5,17.25
United States Bill of Rights,,2,63,Odia,ori,34.5,17.25
Pride and Prejudice,Jane Austen,1342,99,Amharic,amh,21.9,17.207
Robinson Crusoe,Daniel Defoe,12623,98,Amharic,amh,21.9,17.033
A Tale of Two Cities,Charles Dickens,98,65,Burmese,bur,32.9,16.972
Sense and Sensibility,Jane Austen,161,56,Yoruba,yor,37.8,16.8
A Tale of Two Cities,Charles Dickens,98,65,Sundanese,sun,32.4,16.714
A Journey to the Centre of the Earth,Jules Verne,18857,64,Burmese,bur,32.9,16.711
A Study in Scarlet,Arthur Conan Doyle,244,61,Odia,ori,34.5,16.702
Through the Looking-Glass,Lewis Carroll,12,61,Odia,ori,34.5,16.702
The Call of the Wild,Jack London,215,53,Polish,pol,39.7,16.699
Book of Mormon,Joseph Smith; Mormon,17,126,Khmer,khm,16.6,16.6
Treasure Island,Robert Louis Stevenson,120,85,Sindhi,snd,24.6,16.595
Pride and Prejudice,Jane Austen,1342,99,Kurdish,kur,21.0,16.5
Sense and Sensibility,Jane Austen,161,56,Malayalam,mal,37.1,16.489
A Journey to the Centre of the Earth,Jules Verne,18857,64,Sundanese,sun,32.4,16.457
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Burmese,bur,32.9,16.45
United States Bill of Rights,,2,63,Burmese,bur,32.9,16.45
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Odia,ori,34.5,16.429
The Call of the Wild,Jack London,215,53,Pashto,pus,39.0,16.405
The Great Gatsby,F. Scott Fitzgerald,64317,84,Sindhi,snd,24.6,16.4
Treasure Island,Robert Louis Stevenson,120,85,Romanian,rum,24.3,16.393
Robinson Crusoe,Daniel Defoe,12623,98,Kurdish,kur,21.0,16.333
The Adventures of Tom Sawyer,Mark Twain,74,76,Uzbek,uzb,27.0,16.286
The Adventures of Tom Sawyer,Mark Twain,74,76,Igbo,ibo,27.0,16.286
Pride and Prejudice,Jane Austen,1342,99,Thai,tha,20.7,16.264
The Adventures of Tom Sawyer,Mark Twain,74,76,Ukrainian,ukr,26.9,16.225
Oliver Twist,Charles Dickens,56586,83,Sindhi,snd,24.6,16.205
Ulysses,James Joyce,4300,83,Sindhi,snd,24.6,16.205
Book of Mormon,Joseph Smith; Mormon,17,126,Somali,som,16.2,16.2
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Sundanese,sun,32.4,16.2
United States Bill of Rights,,2,63,Sundanese,sun,32.4,16.2
Treasure Island,Robert Louis Stevenson,120,85,Oromo,orm,24.0,16.19
Treasure Island,Robert Louis Stevenson,120,85,Fula,ful,24.0,16.19
Critique of Pure Reason,Immanuel Kant,4280,59,Odia,ori,34.5,16.155
Leviathan,Thomas Hobbes,3207,59,Odia,ori,34.5,16.155
Robinson Crusoe,Daniel Defoe,12623,98,Thai,tha,20.7,16.1
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Pashto,pus,39.0,16.095
The Last of the Mohicans,James Fenimore Cooper,940,52,Pashto,pus,39.0,16.095
Little Women,Louisa May Alcott,514,52,Pashto,pus,39.0,16.095
A Christmas Carol,Charles Dickens,46,75,Uzbek,uzb,27.0,16.071
A Christmas Carol,Charles Dickens,46,75,Igbo,ibo,27.0,16.071
Dracula,Bram Stoker,345,75,Uzbek,uzb,27.0,16.071
Dracula,Bram Stoker,345,75,Igbo,ibo,27.0,16.071
Dracula,Bram Stoker,345,75,Ukrainian,ukr,26.9,16.012
The Picture of Dorian Gray,Oscar Wilde,4078,82,Sindhi,snd,24.6,16.01
Oliver Twist,Charles Dickens,56586,83,Romanian,rum,24.3,16.007
Ulysses,James Joyce,4300,83,Romanian,rum,24.3,16.007
Book of Mormon,Joseph Smith; Mormon,17,126,Zhuang,zha,16.0,16.0
Book of Mormon,Joseph Smith; Mormon,17,126,Turkmen,tuk,16.0,16.0
The Great Gatsby,F. Scott Fitzgerald,64317,84,Oromo,orm,24.0,16.0
The Great Gatsby,F. Scott Fitzgerald,64317,84,Fula,ful,24.0,16.0
A Study in Scarlet,Arthur Conan Doyle,244,61,Burmese,bur,32.9,15.928
Through the Looking-Glass,Lewis Carroll,12,61,Burmese,bur,32.9,15.928
Treasure Island,Robert Louis Stevenson,120,85,Tagalog,tgl,23.6,15.921
The Call of the Wild,Jack London,215,53,Yoruba,yor,37.8,15.9
Oliver Twist,Charles Dickens,56586,83,Oromo,orm,24.0,15.81
Oliver Twist,Charles Dickens,56586,83,Fula,ful,24.0,15.81
Ulysses,James Joyce,4300,83,Oromo,orm,24.0,15.81
Ulysses,James Joyce,4300,83,Fula,ful,24.0,15.81
Book of Mormon,Joseph Smith; Mormon,17,126,Nepali,nep,15.8,15.8
The Great Gatsby,F. Scott Fitzgerald,64317,84,Tagalog,tgl,23.6,15.733
Pride and Prejudice,Jane Austen,1342,99,Lingala,lin,20.0,15.714
A Study in Scarlet,Arthur Conan Doyle,244,61,Sundanese,sun,32.4,15.686
Through the Looking-Glass,Lewis Carroll,12,61,Sundanese,sun,32.4,15.686
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Burmese,bur,32.9,15.667
The Picture of Dorian Gray,Oscar Wilde,4078,82,Oromo,orm,24.0,15.619
The Picture of Dorian Gray,Oscar Wilde,4078,82,Fula,ful,24.0,15.619
The Call of the Wild,Jack London,215,53,Malayalam,mal,37.1,15.606
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Yoruba,yor,37.8,15.6
The Last of the Mohicans,James Fenimore Cooper,940,52,Yoruba,yor,37.8,15.6
Little Women,Louisa May Alcott,514,52,Yoruba,yor,37.8,15.6
Robinson Crusoe,Daniel Defoe,12623,98,Lingala,lin,20.0,15.556
Oliver Twist,Charles Dickens,56586,83,Tagalog,tgl,23.6,15.546
Ulysses,James Joyce,4300,83,Tagalog,tgl,23.6,15.546
Treasure Island,Robert Louis Stevenson,120,85,Azerbaijani,aze,23.0,15.516
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Sundanese,sun,32.4,15.429
Critique of Pure Reason,Immanuel Kant,4280,59,Burmese,bur,32.9,15.406
Leviathan,Thomas Hobbes,3207,59,Burmese,bur,32.9,15.406
Book of Mormon,Joseph Smith; Mormon,17,126,Swahili,swa,15.4,15.4
The Picture of Dorian Gray,Oscar Wilde,4078,82,Tagalog,tgl,23.6,15.359
The Great Gatsby,F. Scott Fitzgerald,64317,84,Azerbaijani,aze,23.0,15.333
Sense and Sensibility,Jane Austen,161,56,Odia,ori,34.5,15.333
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Malayalam,mal,37.1,15.311
The Last of the Mohicans,James Fenimore Cooper,940,52,Malayalam,mal,37.1,15.311
Little Women,Louisa May Alcott,514,52,Malayalam,mal,37.1,15.311
Book of Mormon,Joseph Smith; Mormon,17,126,Sinhala,sin,15.3,15.3
Book of Mormon,Joseph Smith; Mormon,17,126,Assamese,asm,15.3,15.3
Critique of Pure Reason,Immanuel Kant,4280,59,Sundanese,sun,32.4,15.171
Leviathan,Thomas Hobbes,3207,59,Sundanese,sun,32.4,15.171
Oliver Twist,Charles Dickens,56586,83,Azerbaijani,aze,23.0,15.151
Ulysses,James Joyce,4300,83,Azerbaijani,aze,23.0,15.151
Book of Mormon,Joseph Smith; Mormon,17,126,Modern Greek,ell,15.0,15.0
Book of Mormon,Joseph Smith; Mormon,17,126,Kanuri,kau,15.0,15.0
The Picture of Dorian Gray,Oscar Wilde,4078,82,Azerbaijani,aze,23.0,14.968
Pride and Prejudice,Jane Austen,1342,99,Serbo-Croatian,sh,19.0,14.929
The Adventures of Tom Sawyer,Mark Twain,74,76,Sindhi,snd,24.6,14.838
Great Expectations,Charles Dickens,1400,69,Uzbek,uzb,27.0,14.786
Great Expectations,Charles Dickens,1400,69,Igbo,ibo,27.0,14.786
The Jungle Book,,236,69,Uzbek,uzb,27.0,14.786
The Jungle Book,,236,69,Igbo,ibo,27.0,14.786
Robinson Crusoe,Daniel Defoe,12623,98,Serbo-Croatian,sh,19.0,14.778
Treasure Island,Robert Louis Stevenson,120,85,Amharic,amh,21.9,14.774
Great Expectations,Charles Dickens,1400,69,Ukrainian,ukr,26.9,14.731
The Jungle Book,,236,69,Ukrainian,ukr,26.9,14.731
The Adventures of Tom Sawyer,Mark Twain,74,76,Romanian,rum,24.3,14.657
A Christmas Carol,Charles Dickens,46,75,Sindhi,snd,24.6,14.643
Dracula,Bram Stoker,345,75,Sindhi,snd,24.6,14.643
Sense and Sensibility,Jane Austen,161,56,Burmese,bur,32.9,14.622
The Great Gatsby,F. Scott Fitzgerald,64317,84,Amharic,amh,21.9,14.6
The Merchant of Venice,William Shakespeare,2243,68,Uzbek,uzb,27.0,14.571
The Merchant of Venice,William Shakespeare,2243,68,Igbo,ibo,27.0,14.571
David Copperfield,Charles Dickens,766,68,Uzbek,uzb,27.0,14.571
David Copperfield,Charles Dickens,766,68,Igbo,ibo,27.0,14.571
The Merchant of Venice,William Shakespeare,2243,68,Ukrainian,ukr,26.9,14.517
David Copperfield,Charles Dickens,766,68,Ukrainian,ukr,26.9,14.517
The Call of the Wild,Jack London,215,53,Odia,ori,34.5,14.512
The Adventures of Tom Sawyer,Mark Twain,74,76,Oromo,orm,24.0,14.476
The Adventures of Tom Sawyer,Mark Twain,74,76,Fula,ful,24.0,14.476
A Christmas Carol,Charles Dickens,46,75,Romanian,rum,24.3,14.464
Dracula,Bram Stoker,345,75,Romanian,rum,24.3,14.464
Oliver Twist,Charles Dickens,56586,83,Amharic,amh,21.9,14.426
Ulysses,James Joyce,4300,83,Amharic,amh,21.9,14.426
Sense and Sensibility,Jane Austen,161,56,Sundanese,sun,32.4,14.4
A Christmas Carol,Charles Dickens,46,75,Oromo,orm,24.0,14.286
A Christmas Carol,Charles Dickens,46,75,Fula,ful,24.0,14.286
Dracula,Bram Stoker,345,75,Oromo,orm,24.0,14.286
Dracula,Bram Stoker,345,75,Fula,ful,24.0,14.286
The Picture of Dorian Gray,Oscar Wilde,4078,82,Amharic,amh,21.9,14.252
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Odia,ori,34.5,14.238
The Last of the Mohicans,James Fenimore Cooper,940,52,Odia,ori,34.5,14.238
Little Women,Louisa May Alcott,514,52,Odia,ori,34.5,14.238
The Adventures of Tom Sawyer,Mark Twain,74,76,Tagalog,tgl,23.6,14.235
Treasure Island,Robert Louis Stevenson,120,85,Kurdish,kur,21.0,14.167
Pride and Prejudice,Jane Austen,1342,99,Malagasy,mlg,18.0,14.143
A Christmas Carol,Charles Dickens,46,75,Tagalog,tgl,23.6,14.048
Dracula,Bram Stoker,345,75,Tagalog,tgl,23.6,14.048
Book of Mormon,Joseph Smith; Mormon,17,126,Tajik,tgk,14.0,14.0
Robinson Crusoe,Daniel Defoe,12623,98,Malagasy,mlg,18.0,14.0
The Great Gatsby,F. Scott Fitzgerald,64317,84,Kurdish,kur,21.0,14.0
Treasure Island,Robert Louis Stevenson,120,85,Thai,tha,20.7,13.964
A Tale of Two Cities,Charles Dickens,98,65,Uzbek,uzb,27.0,13.929
A Tale of Two Cities,Charles Dickens,98,65,Igbo,ibo,27.0,13.929
A Tale of Two Cities,Charles Dickens,98,65,Ukrainian,ukr,26.9,13.877
The Adventures of Tom Sawyer,Mark Twain,74,76,Azerbaijani,aze,23.0,13.873
The Call of the Wild,Jack London,215,53,Burmese,bur,32.9,13.839
Oliver Twist,Charles Dickens,56586,83,Kurdish,kur,21.0,13.833
Ulysses,James Joyce,4300,83,Kurdish,kur,21.0,13.833
The Great Gatsby,F. Scott Fitzgerald,64317,84,Thai,tha,20.7,13.8
A Journey to the Centre of the Earth,Jules Verne,18857,64,Uzbek,uzb,27.0,13.714
A Journey to the Centre of the Earth,Jules Verne,18857,64,Igbo,ibo,27.0,13.714
A Christmas Carol,Charles Dickens,46,75,Azerbaijani,aze,23.0,13.69
Dracula,Bram Stoker,345,75,Azerbaijani,aze,23.0,13.69
The Picture of Dorian Gray,Oscar Wilde,4078,82,Kurdish,kur,21.0,13.667
A Journey to the Centre of the Earth,Jules Verne,18857,64,Ukrainian,ukr,26.9,13.663
Oliver Twist,Charles Dickens,56586,83,Thai,tha,20.7,13.636
Ulysses,James Joyce,4300,83,Thai,tha,20.7,13.636
The Call of the Wild,Jack London,215,53,Sundanese,sun,32.4,13.629
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Burmese,bur,32.9,13.578
The Last of the Mohicans,James Fenimore Cooper,940,52,Burmese,bur,32.9,13.578
Little Women,Louisa May Alcott,514,52,Burmese,bur,32.9,13.578
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Uzbek,uzb,27.0,13.5
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Igbo,ibo,27.0,13.5
United States Bill of Rights,,2,63,Uzbek,uzb,27.0,13.5
United States Bill of Rights,,2,63,Igbo,ibo,27.0,13.5
Treasure Island,Robert Louis Stevenson,120,85,Lingala,lin,20.0,13.492
The Picture of Dorian Gray,Oscar Wilde,4078,82,Thai,tha,20.7,13.471
Great Expectations,Charles Dickens,1400,69,Sindhi,snd,24.6,13.471
The Jungle Book,,236,69,Sindhi,snd,24.6,13.471
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Ukrainian,ukr,26.9,13.45
United States Bill of Rights,,2,63,Ukrainian,ukr,26.9,13.45
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Sundanese,sun,32.4,13.371
The Last of the Mohicans,James Fenimore Cooper,940,52,Sundanese,sun,32.4,13.371
Little Women,Louisa May Alcott,514,52,Sundanese,sun,32.4,13.371
The Great Gatsby,F. Scott Fitzgerald,64317,84,Lingala,lin,20.0,13.333
Great Expectations,Charles Dickens,1400,69,Romanian,rum,24.3,13.307
The Jungle Book,,236,69,Romanian,rum,24.3,13.307
The Merchant of Venice,William Shakespeare,2243,68,Sindhi,snd,24.6,13.276
David Copperfield,Charles Dickens,766,68,Sindhi,snd,24.6,13.276
The Adventures of Tom Sawyer,Mark Twain,74,76,Amharic,amh,21.9,13.21
Oliver Twist,Charles Dickens,56586,83,Lingala,lin,20.0,13.175
Ulysses,James Joyce,4300,83,Lingala,lin,20.0,13.175
Great Expectations,Charles Dickens,1400,69,Oromo,orm,24.0,13.143
Great Expectations,Charles Dickens,1400,69,Fula,ful,24.0,13.143
The Jungle Book,,236,69,Oromo,orm,24.0,13.143
The Jungle Book,,236,69,Fula,ful,24.0,13.143
The Merchant of Venice,William Shakespeare,2243,68,Romanian,rum,24.3,13.114
David Copperfield,Charles Dickens,766,68,Romanian,rum,24.3,13.114
A Study in Scarlet,Arthur Conan Doyle,244,61,Uzbek,uzb,27.0,13.071
A Study in Scarlet,Arthur Conan Doyle,244,61,Igbo,ibo,27.0,13.071
Through the Looking-Glass,Lewis Carroll,12,61,Uzbek,uzb,27.0,13.071
Through the Looking-Glass,Lewis Carroll,12,61,Igbo,ibo,27.0,13.071
Pride and Prejudice,Jane Austen,1342,99,Khmer,khm,16.6,13.043
A Christmas Carol,Charles Dickens,46,75,Amharic,amh,21.9,13.036
Dracula,Bram Stoker,345,75,Amharic,amh,21.9,13.036
The Picture of Dorian Gray,Oscar Wilde,4078,82,Lingala,lin,20.0,13.016
Book of Mormon,Joseph Smith; Mormon,17,126,Tsonga,tso,13.0,13.0
The Merchant of Venice,William Shakespeare,2243,68,Oromo,orm,24.0,12.952
The Merchant of Venice,William Shakespeare,2243,68,Fula,ful,24.0,12.952
David Copperfield,Charles Dickens,766,68,Oromo,orm,24.0,12.952
David Copperfield,Charles Dickens,766,68,Fula,ful,24.0,12.952
Great Expectations,Charles Dickens,1400,69,Tagalog,tgl,23.6,12.924
The Jungle Book,,236,69,Tagalog,tgl,23.6,12.924
Robinson Crusoe,Daniel Defoe,12623,98,Khmer,khm,16.6,12.911
Book of Mormon,Joseph Smith; Mormon,17,126,Kazakh,kaz,12.9,12.9
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Uzbek,uzb,27.0,12.857
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Igbo,ibo,27.0,12.857
Treasure Island,Robert Louis Stevenson,120,85,Serbo-Croatian,sh,19.0,12.817
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Ukrainian,ukr,26.9,12.81
The Merchant of Venice,William Shakespeare,2243,68,Tagalog,tgl,23.6,12.737
David Copperfield,Charles Dickens,766,68,Tagalog,tgl,23.6,12.737
Pride and Prejudice,Jane Austen,1342,99,Somali,som,16.2,12.729
A Tale of Two Cities,Charles Dickens,98,65,Sindhi,snd,24.6,12.69
The Great Gatsby,F. Scott Fitzgerald,64317,84,Serbo-Croatian,sh,19.0,12.667
The Adventures of Tom Sawyer,Mark Twain,74,76,Kurdish,kur,21.0,12.667
Critique of Pure Reason,Immanuel Kant,4280,59,Uzbek,uzb,27.0,12.643
Critique of Pure Reason,Immanuel Kant,4280,59,Igbo,ibo,27.0,12.643
Leviathan,Thomas Hobbes,3207,59,Uzbek,uzb,27.0,12.643
Leviathan,Thomas Hobbes,3207,59,Igbo,ibo,27.0,12.643
Book of Mormon,Joseph Smith; Mormon,17,126,Hungarian,hun,12.6,12.6
Robinson Crusoe,Daniel Defoe,12623,98,Somali,som,16.2,12.6
Critique of Pure Reason,Immanuel Kant,4280,59,Ukrainian,ukr,26.9,12.596
Leviathan,Thomas Hobbes,3207,59,Ukrainian,ukr,26.9,12.596
Great Expectations,Charles Dickens,1400,69,Azerbaijani,aze,23.0,12.595
The Jungle Book,,236,69,Azerbaijani,aze,23.0,12.595
Pride and Prejudice,Jane Austen,1342,99,Zhuang,zha,16.0,12.571
Pride and Prejudice,Jane Austen,1342,99,Turkmen,tuk,16.0,12.571
A Tale of Two Cities,Charles Dickens,98,65,Romanian,rum,24.3,12.536
Oliver Twist,Charles Dickens,56586,83,Serbo-Croatian,sh,19.0,12.516
Ulysses,James Joyce,4300,83,Serbo-Croatian,sh,19.0,12.516
A Christmas Carol,Charles Dickens,46,75,Kurdish,kur,21.0,12.5
Dracula,Bram Stoker,345,75,Kurdish,kur,21.0,12.5
A Journey to the Centre of the Earth,Jules Verne,18857,64,Sindhi,snd,24.6,12.495
The Adventures of Tom Sawyer,Mark Twain,74,76,Thai,tha,20.7,12.486
Robinson Crusoe,Daniel Defoe,12623,98,Zhuang,zha,16.0,12.444
Robinson Crusoe,Daniel Defoe,12623,98,Turkmen,tuk,16.0,12.444
Pride and Prejudice,Jane Austen,1342,99,Nepali,nep,15.8,12.414
The Merchant of Venice,William Shakespeare,2243,68,Azerbaijani,aze,23.0,12.413
David Copperfield,Charles Dickens,766,68,Azerbaijani,aze,23.0,12.413
A Tale of Two Cities,Charles Dickens,98,65,Oromo,orm,24.0,12.381
A Tale of Two Cities,Charles Dickens,98,65,Fula,ful,24.0,12.381
The Picture of Dorian Gray,Oscar Wilde,4078,82,Serbo-Croatian,sh,19.0,12.365
A Journey to the Centre of the Earth,Jules Verne,18857,64,Romanian,rum,24.3,12.343
A Christmas Carol,Charles Dickens,46,75,Thai,tha,20.7,12.321
Dracula,Bram Stoker,345,75,Thai,tha,20.7,12.321
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Sindhi,snd,24.6,12.3
United States Bill of Rights,,2,63,Sindhi,snd,24.6,12.3
Robinson Crusoe,Daniel Defoe,12623,98,Nepali,nep,15.8,12.289
A Journey to the Centre of the Earth,Jules Verne,18857,64,Oromo,orm,24.0,12.19
A Journey to the Centre of the Earth,Jules Verne,18857,64,Fula,ful,24.0,12.19
A Tale of Two Cities,Charles Dickens,98,65,Tagalog,tgl,23.6,12.175
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Romanian,rum,24.3,12.15
United States Bill of Rights,,2,63,Romanian,rum,24.3,12.15
Treasure Island,Robert Louis Stevenson,120,85,Malagasy,mlg,18.0,12.143
Book of Mormon,Joseph Smith; Mormon,17,126,Zulu,zul,12.1,12.1
Book of Mormon,Joseph Smith; Mormon,17,126,Kinyarwanda,kin,12.1,12.1
Pride and Prejudice,Jane Austen,1342,99,Swahili,swa,15.4,12.1
The Adventures of Tom Sawyer,Mark Twain,74,76,Lingala,lin,20.0,12.063
Pride and Prejudice,Jane Austen,1342,99,Assamese,asm,15.3,12.021
Book of Mormon,Joseph Smith; Mormon,17,126,Chewa,nya,12.0,12.0
The Great Gatsby,F. Scott Fitzgerald,64317,84,Malagasy,mlg,18.0,12.0
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Oromo,orm,24.0,12.0
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Fula,ful,24.0,12.0
United States Bill of Rights,,2,63,Oromo,orm,24.0,12.0
United States Bill of Rights,,2,63,Fula,ful,24.0,12.0
Sense and Sensibility,Jane Austen,161,56,Uzbek,uzb,27.0,12.0
Sense and Sensibility,Jane Austen,161,56,Igbo,ibo,27.0,12.0
The Jungle Book,,236,69,Amharic,amh,21.9,11.993
A Journey to the Centre of the Earth,Jules Verne,18857,64,Tagalog,tgl,23.6,11.987
Robinson Crusoe,Daniel Defoe,12623,98,Swahili,swa,15.4,11.978
Sense and Sensibility,Jane Austen,161,56,Ukrainian,ukr,26.9,11.956
A Study in Scarlet,Arthur Conan Doyle,244,61,Sindhi,snd,24.6,11.91
Through the Looking-Glass,Lewis Carroll,12,61,Sindhi,snd,24.6,11.91
A Christmas Carol,Charles Dickens,46,75,Lingala,lin,20.0,11.905
Dracula,Bram Stoker,345,75,Lingala,lin,20.0,11.905
Robinson Crusoe,Daniel Defoe,12623,98,Sinhala,sin,15.3,11.9
Robinson Crusoe,Daniel Defoe,12623,98,Assamese,asm,15.3,11.9
A Tale of Two Cities,Charles Dickens,98,65,Azerbaijani,aze,23.0,11.865
Oliver Twist,Charles Dickens,56586,83,Malagasy,mlg,18.0,11.857
Ulysses,James Joyce,4300,83,Malagasy,mlg,18.0,11.857
The Merchant of Venice,William Shakespeare,2243,68,Amharic,amh,21.9,11.819
David Copperfield,Charles Dickens,766,68,Amharic,amh,21.9,11.819
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Tagalog,tgl,23.6,11.8
United States Bill of Rights,,2,63,Tagalog,tgl,23.6,11.8
Pride and Prejudice,Jane Austen,1342,99,Modern Greek,ell,15.0,11.786
Pride and Prejudice,Jane Austen,1342,99,Kanuri,kau,15.0,11.786
A Study in Scarlet,Arthur Conan Doyle,244,61,Romanian,rum,24.3,11.764
Through the Looking-Glass,Lewis Carroll,12,61,Romanian,rum,24.3,11.764
The Picture of Dorian Gray,Oscar Wilde,4078,82,Malagasy,mlg,18.0,11.714
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Sindhi,snd,24.6,11.714
A Journey to the Centre of the Earth,Jules Verne,18857,64,Azerbaijani,aze,23.0,11.683
Robinson Crusoe,Daniel Defoe,12623,98,Modern Greek,ell,15.0,11.667
Robinson Crusoe,Daniel Defoe,12623,98,Kanuri,kau,15.0,11.667
A Study in Scarlet,Arthur Conan Doyle,244,61,Oromo,orm,24.0,11.619
A Study in Scarlet,Arthur Conan Doyle,244,61,Fula,ful,24.0,11.619
Through the Looking-Glass,Lewis Carroll,12,61,Oromo,orm,24.0,11.619
Through the Looking-Glass,Lewis Carroll,12,61,Fula,ful,24.0,11.619
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Romanian,rum,24.3,11.571
Critique of Pure Reason,Immanuel Kant,4280,59,Sindhi,snd,24.6,11.519
Leviathan,Thomas Hobbes,3207,59,Sindhi,snd,24.6,11.519
Great Expectations,Charles Dickens,1400,69,Kurdish,kur,21.0,11.5
The Jungle Book,,236,69,Kurdish,kur,21.0,11.5
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Azerbaijani,aze,23.0,11.5
United States Bill of Rights,,2,63,Azerbaijani,aze,23.0,11.5
The Adventures of Tom Sawyer,Mark Twain,74,76,Serbo-Croatian,sh,19.0,11.46
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Oromo,orm,24.0,11.429
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Fula,ful,24.0,11.429
A Study in Scarlet,Arthur Conan Doyle,244,61,Tagalog,tgl,23.6,11.425
Through the Looking-Glass,Lewis Carroll,12,61,Tagalog,tgl,23.6,11.425
Critique of Pure Reason,Immanuel Kant,4280,59,Romanian,rum,24.3,11.379
Leviathan,Thomas Hobbes,3207,59,Romanian,rum,24.3,11.379
The Call of the Wild,Jack London,215,53,Uzbek,uzb,27.0,11.357
The Call of the Wild,Jack London,215,53,Igbo,ibo,27.0,11.357
Great Expectations,Charles Dickens,1400,69,Thai,tha,20.7,11.336
The Jungle Book,,236,69,Thai,tha,20.7,11.336
The Merchant of Venice,William Shakespeare,2243,68,Kurdish,kur,21.0,11.333
David Copperfield,Charles Dickens,766,68,Kurdish,kur,21.0,11.333
The Call of the Wild,Jack London,215,53,Ukrainian,ukr,26.9,11.315
A Christmas Carol,Charles Dickens,46,75,Serbo-Croatian,sh,19.0,11.31
Dracula,Bram Stoker,345,75,Serbo-Croatian,sh,19.0,11.31
A Tale of Two Cities,Charles Dickens,98,65,Amharic,amh,21.9,11.298
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Tagalog,tgl,23.6,11.238
Critique of Pure Reason,Immanuel Kant,4280,59,Oromo,orm,24.0,11.238
Critique of Pure Reason,Immanuel Kant,4280,59,Fula,ful,24.0,11.238
Leviathan,Thomas Hobbes,3207,59,Oromo,orm,24.0,11.238
Leviathan,Thomas Hobbes,3207,59,Fula,ful,24.0,11.238
Treasure Island,Robert Louis Stevenson,120,85,Khmer,khm,16.6,11.198
David Copperfield,Charles Dickens,766,68,Thai,tha,20.7,11.171
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Uzbek,uzb,27.0,11.143
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Igbo,ibo,27.0,11.143
The Last of the Mohicans,James Fenimore Cooper,940,52,Uzbek,uzb,27.0,11.143
The Last of the Mohicans,James Fenimore Cooper,940,52,Igbo,ibo,27.0,11.143
Little Women,Louisa May Alcott,514,52,Uzbek,uzb,27.0,11.143
Little Women,Louisa May Alcott,514,52,Igbo,ibo,27.0,11.143
A Study in Scarlet,Arthur Conan Doyle,244,61,Azerbaijani,aze,23.0,11.135
Through the Looking-Glass,Lewis Carroll,12,61,Azerbaijani,aze,23.0,11.135
A Journey to the Centre of the Earth,Jules Verne,18857,64,Amharic,amh,21.9,11.124
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Ukrainian,ukr,26.9,11.102
The Last of the Mohicans,James Fenimore Cooper,940,52,Ukrainian,ukr,26.9,11.102
Little Women,Louisa May Alcott,514,52,Ukrainian,ukr,26.9,11.102
The Great Gatsby,F. Scott Fitzgerald,64317,84,Khmer,khm,16.6,11.067
Critique of Pure Reason,Immanuel Kant,4280,59,Tagalog,tgl,23.6,11.051
Leviathan,Thomas Hobbes,3207,59,Tagalog,tgl,23.6,11.051
Book of Mormon,Joseph Smith; Mormon,17,126,Akan,aka,11.0,11.0
Pride and Prejudice,Jane Austen,1342,99,Tajik,tgk,14.0,11.0
