title,authors,source_language,source,source_url,sitelinks,known_languages,edition_count,flag
Elegie romane,Gabriele D'Annunzio,it,gutenberg,https://www.gutenberg.org/ebooks/58648,1,ita,2,
Lourdes,Rosa Matteucci,it,gutenberg,https://www.gutenberg.org/ebooks/8516,1,ita,1,
Hacia una moral sin dogmas,José Ingenieros,es,gutenberg,https://www.gutenberg.org/ebooks/56301,0,spa,4,
Alma vasca,José María Salaverría,es,gutenberg,https://www.gutenberg.org/ebooks/61874,0,spa,2,
Vida de Cervantes (Spanish),,es,gutenberg,https://www.gutenberg.org/ebooks/58261,0,(none catalogued),1,
La vérité en marche,Émile Zola,fr,gutenberg,https://www.gutenberg.org/ebooks/56808,0,fre,9,
Amis (French),,fr,gutenberg,https://www.gutenberg.org/ebooks/58259,0,fre,1,
Anna Karenina,Leo Tolstoy,de,gutenberg,https://www.gutenberg.org/ebooks/44957,0,rus,4,
Shakespeare,Gustav Landauer,de,gutenberg,https://www.gutenberg.org/ebooks/52012,0,ger,10,
Balboa,Heinrich Joseph von Collin,de,gutenberg,https://www.gutenberg.org/ebooks/49248,0,ger,1,
Sidsel Langröckchen,Hans Aanrud,de,gutenberg,https://www.gutenberg.org/ebooks/48902,0,(none catalogued),1,
Die naturwissenschaften in ihrer entwicklung und in ihrem zusammenhange,Friedrich Dannemann,de,gutenberg,https://www.gutenberg.org/ebooks/57952,0,ger,3,
"Henriette, oder die schöne Sängerin (German)",,de,gutenberg,https://www.gutenberg.org/ebooks/59229,0,(none catalogued),1,
Der Weihnachtsabend,,de,gutenberg,https://www.gutenberg.org/ebooks/56520,0,ger,1,
Poesie di Giosuè Carducci : 1850-1900,Giosuè Carducci,it,gutenberg,https://www.gutenberg.org/ebooks/56711,0,ita,1,
Dalla spuma del mare,Salvatore Farina,it,gutenberg,https://www.gutenberg.org/ebooks/61849,0,ita,1,
